Month,Blockheight,"token rewards (AR, based on blockheight)",token rewards (% to maxiumum suppy),$ price,token rewards ($),tx_fees (AR),txfees ($),blockrewards,data fees,"endowment (calculated via 5/6 of blockrewards, actual 49796 end of 04/2023)","#nodes (from viewblock recent and early history, 350 in 2021 is estimated)"
06/2018,14900,"423,910.14",0.64%,0.25,"105,977.54",8.64,2.16,6.40,2.64,,30.00
07/2018,35000,"546,085.63",0.83%,0.25,136521.4083,61.53,15.38,11.49,1.59,,29.00
08/2018,48000,"338,081.11",0.51%,0.25,84520.27717,38.29,9.57,8.43,0.28,,20.00
09/2018,57000,"227,357.24",0.34%,0.25,56839.31063,21.55,5.39,4.16,8.15,,20.00
10/2018,74000,"415,002.06",0.63%,0.25,103750.5156,14.91,3.73,2.54,7.07,,25.00
11/2018,93000,"442,329.09",0.67%,0.25,110582.2733,46.25,11.56,10.81,43.49,,46.00
12/2018,112000,"420,708.75",0.64%,0.25,105177.1865,94.90,23.73,24.23,72.79,,53.00
01/2019,132200,"424,750.58",0.64%,0.25,106187.6455,160.10,40.03,70.21,29.26,,71.00
02/2019,150000,"355,981.29",0.54%,0.25,88995.32207,146.53,36.63,70.68,19.49,,81.00
03/2019,170000,"380,538.16",0.58%,0.25,95134.54011,61.60,15.40,12.11,41.41,,62.00
04/2019,189000,"343,384.12",0.52%,0.25,85846.03054,89.34,22.34,32.60,80.78,,57.00
05/2019,210000,"360,036.51",0.55%,0.25,90009.1263,"1,302.30",325.58,651.29,62.44,,168.00
06/2019,230000,"324,840.30",0.49%,0.25,81210.07538,589.34,147.34,381.17,59.73,,128.00
07/2019,250000,"308,148.79",0.47%,0.25,77037.1978,765.60,191.40,440.66,779.10,,95.00
08/2019,271000,"306,529.84",0.46%,0.25,76632.45957,"2,016.00",504.00,"1,319.20","1,687.11",,158.00
09/2019,292000,"290,013.26",0.44%,0.25,72503.31376,94.89,23.72,71.52,87.68,,124.00
10/2019,312000,"261,662.34",0.40%,0.25,65415.58415,320.50,80.13,277.72,156.17,0.00,152.00
11/2019,333500,"266,310.92",0.40%,1.036248,275964.1583,"1,760.17","1,823.97",313.12,441.87,"1,447.05",260.00
12/2019,355000,"251,629.37",0.38%,0.916789,230691.0388,494.09,452.98,82.35,428.66,"3,490.40",139.00
01/2020,375000,"221,603.44",0.34%,0.639303,141671.7416,408.67,261.26,68.11,351.59,"5,761.55",114.00
02/2020,396000,"220,439.18",0.33%,0.753337,166064.9871,454.23,342.19,75.71,351.41,"7,881.65",120.00
03/2020,416000,"198,889.63",0.30%,0.614194,122156.819,424.02,260.43,70.29,280.44,"2,931.61",106.00
04/2020,437000,"197,844.71",0.30%,0.496496,98229.105,518.09,257.23,86.35,372.49,"6,619.66",102.00
05/2020,456000,"169,800.60",0.26%,0.528421,89726.20533,737.61,389.77,122.93,471.34,"10,561.96",122.00
06/2020,477000,"178,035.07",0.27%,1.289774,229625.0046,788.46,"1,016.93",131.41,210.94,"11,642.91",201.00
07/2020,498000,"168,442.10",0.26%,1.608128,270876.4602,216.19,347.66,36.03,124.94,"14,847.76",122.00
08/2020,518000,"151,975.65",0.23%,3.098342,470872.5499,640.97,"1,985.94",106.83,153.46,"18,839.71",201.00
09/2020,538500,"147,674.20",0.22%,4.344248,641533.3516,798.39,"3,468.42",133.07,221.04,"21,663.41",298.00
10/2020,559000,"139,901.53",0.21%,3.549143,496530.5276,564.74,"2,004.36",94.12,357.32,"30,979.11",200.00
